;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
87;Asparagus densiflorus;Aspargo-pluma, Aspargo-rabo-de-gato;Asparagaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;0.4 a 0.6 metros;Meia Sombra;Perene
88;Asparagus densiflorus Sprengeri;Aspargo, Aspargo-ornamental, Aspargo-pendente;Asparagaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;0.4 a 0.6 metros;Meia Sombra;Perene
89;Asparagus setaceus;Aspargo-samambaia, Asparagus, Aspargo, Aspargo-plumoso, Asparguinho-de-jadim, Melindre, Melindro;Asparagaceae;Arbustos, Arbustos Tropicais, Folhagens, Trepadeiras;Equatorial, Mediterrâneo, Subtropical, Tropical;África, África do Sul;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra;Perene
90;Aspidistra elatior;Aspidistra, ;Ruscaceae;Folhagens, Forrações à Meia Sombra;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China;0.4 a 0.6 metros, 0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
91;Asplenium nidus;Asplênio, Ninho-de-passarinho;Aspleniaceae;Folhagens, Plantas Palustres;Equatorial, Subtropical, Tropical;Ásia;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Luz Difusa;Perene
92;Asystasia gangetica;Coromandel, Asistásia, Asistásia-branca;Acanthaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;Ásia, Índia, Malásia;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
93;Aubretia deltoidea;Aubrietia, Aubrétia, Aubrieta;Brassicaceae;Flores Anuais, Flores Perenes;Continental, Mediterrâneo, Subtropical, Tropical;Ásia, Europa, Mediterrâneo;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
94;Aucuba japonica;Louro-do-japão, Cróton-da-serra, Aucuba;Garryaceae;Arbustos;Mediterrâneo, Oceânico, Subtropical, Temperado;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Luz Difusa, Meia Sombra, Sombra;Perene
95;Aurinia saxatilis;Cesto-de-ouro, Álisso-amarelo, Colchão-dourado, Tufo-dourado;Brassicaceae;Flores Anuais, Flores Perenes;Continental, Mediterrâneo, Subtropical, Tropical;Ásia, Europa;0.1 a 0.3 metros, menos de 15 cm;Sol Pleno;Perene
96;Averrhoa carambola;Carambola, Camerunga, Caramboleira, Caramboleiro;Oxalidaceae;Árvores, Árvores Frutíferas;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Índia, Indonésia, Malásia;6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
97;Axonopus compressus;Grama-são-carlos, Grama-curitibana, Grama-missioneira, Grama-sempre-verde, Grama-tapete;Poaceae;Gramados;Equatorial, Subtropical, Temperado, Tropical;América do Sul, Brasil;menos de 15 cm;Meia Sombra, Sol Pleno;Perene
98;Azorina vidalii;Vidália, Azorina;Campanulaceae;Flores Perenes;Mediterrâneo, Oceânico, Temperado;Açores, Europa;0.9 a 1.2 metros;Sol Pleno;Perene
99;Babiana stricta;Babiana, Flor-de-veludo;Iridaceae;Bulbosas, Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
100;Baccharis trimera;Carqueja, Bacanta, Bacárida, Cacália, Cacália-amarga, Vassoura;Asteraceae;Medicinal;Equatorial, Subtropical, Tropical;América do Sul;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
101;Bambusa textilis gracilis;Bambuzinho-de-jardim, Bambu-de-jardim, Bambuza, Bambuzinho-amarelo;Poaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Oceânico, Subtropical, Tropical;Ásia, China, Japão;3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
102;Bambusa ventricosa;Bambu-barriga-de-buda, Bambu-de-buda;Poaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Subtropical, Tropical;Ásia, China, Vietnã;4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
103;Barbarea verna;Agrião-da-terra, Agrião-de-horta, Agrião-de-santa-bárbara, Agrião-dos-jardins, Agrião-rinchão, Erva-de-santa-bárbara, Erva-de-são-julião, Erva-dos-carpinteiros;Brassicaceae;Folhas e Flores, Plantas Hortícolas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa;0.3 a 0.4 metros;Sol Pleno;Bienal
104;Barleria cristata;Barléria, Violeta-filipina;Acanthaceae;Flores Perenes;Equatorial, Mediterrâneo, Subtropical, Tropical;Ásia, Índia;0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
105;Bauhinia blakeana;Bauínia-de-hong-kong, Árvore-de-orquídeas, Árvore-orquídea, Bauínia, Bauínia-blaqueana, Pata-de-vaca, Unha-de-vaca;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
106;Bauhinia scandens;Bauhinia-trepadeira, Trepadeira-de-orquídeas, Pata-de-vaca-trepadeira;Fabaceae;Trepadeiras;Mediterrâneo, Oceânico, Subtropical, Tropical;Ásia, China;3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
107;Bauhinia variegata;Pata-de-vaca, Árvore-de-orquídeas, Árvore-orquídea, Casco-de-vaca, Casco-de-vaca-lilás, Pata-de-vaca-lilás, Mororó, Bauínia, Pé-de-boi, Pata-de-vaca-rosa;Fabaceae;Árvores, Árvores Ornamentais, Medicinal;Equatorial, Subtropical, Tropical;Ásia, China, Índia, Vietnã;6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
108;Beaucarnea recurvata;Pata-de-elefante, Biucárnea, Nolina;Asparagaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Oceânico, Semi-árido, Subtropical, Tropical;América do Norte, México;4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
109;Begonia coccinea;Begônia-asa-de-anjo, ;Begoniaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Luz Difusa, Meia Sombra;Perene
110;Begonia elatior;Begônia, Begônia-elatior;Begoniaceae;Bulbosas, Flores Perenes;Equatorial, Subtropical, Tropical;América Central, América do Sul;0.3 a 0.4 metros;Luz Difusa;Perene
111;Begonia rex;Begônia-rex, ;Begoniaceae;Folhagens;Equatorial, Tropical;Ásia, China, Índia, Vietnã;0.1 a 0.3 metros, 0.3 a 0.4 metros;Luz Difusa, Meia Sombra, Sombra;Perene
112;Begonia semperflorens;Begônia-cerosa, Azedinha-do-brejo, Begônia, Begônia-de-jardim;Begoniaceae;Flores Anuais, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Anual, Perene
113;Belamcanda chinensis;Flor-leopardo, Lírio-leopardo;Iridaceae;Flores Perenes;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China, Japão;0.6 a 0.9 metros;Sol Pleno;Perene
114;Bellis perennis;Bonina, Bela-margarida, Bonita, Mãe-de-família, Margarida, Margarida-comum, Margarida-dos-prados, Margarida-inglesa, Margarida-menor, Margarida-rasteira, Margarida-vulgar, Margaridinha, Margarita, Rapazinho, Rapazinhos, Sempre-viva;Asteraceae;Flores Anuais, Flores Perenes, Medicinal;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
115;Berberis thunbergii;Bérbere-japonês, Berbere-japonês, Uva-espim-do-japão;Berberidaceae;Arbustos, Bonsai, Cercas Vivas;;Ásia, Japão;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
116;Beta vulgaris cicla;Acelga, Celga;Amaranthaceae;Folhas e Flores, Medicinal, Plantas Hortícolas, Raízes e Rizomas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.3 a 0.4 metros, 0.4 a 0.6 metros;Sol Pleno;Bienal
117;Beta vulgaris esculenta;Beterraba, Beterraba-hortense;Amaranthaceae;Plantas Hortícolas, Raízes e Rizomas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.3 a 0.4 metros, 0.4 a 0.6 metros;Sol Pleno;Bienal
118;Bidens pilosa;Picão-preto, Amor-de-burro, Amor-seco, Carrapicho, Carrapicho-agulha, Carrapicho-cuambu, Carrapicho-de-agulha, Carrapicho-de-duas-pontas, Carrapicho-picão, Coambi, Cuambri, Cuambú, Erva-de-picão, Erva-picão, Erva-pilão, Fura-capa, Furacapa, Goambú, Macela-do-campo, Paconca, Picacho, Picacho-negro, Picão, Picão-do-campo, Pico-pico, Piolho-de-padre;Asteraceae;Plantas Daninhas;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Sul;0.6 a 0.9 metros;Sol Pleno;Bienal
119;Bidens sulphurea;Picão, Áster-do-méxico, Cosmo-amarelo, Picão-grande;Asteraceae;Flores Anuais;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, México;0.6 a 0.9 metros;Sol Pleno;Anual
120;Bismarckia nobilis;Palmeira-azul, Palmeira-bismarckia, Palmeira-de-bismarck;Arecaceae;Palmeiras, Plantas Esculturais;Equatorial, Mediterrâneo, Subtropical, Tropical;Madagascar;acima de 12 metros;Meia Sombra, Sol Pleno;Perene
121;Bixa orellana;Urucum, Achicote, Achiote, Achote, Bija, Bixa, Colorau, Orucú, Tintória, Uru-uva, Urucú, Urucú-bravo, Urucú-da-mata, Urucuuba, Urucuzeiro;Bixaceae;Árvores, Árvores Frutíferas, Árvores Ornamentais, Medicinal;Equatorial, Subtropical, Tropical;América Central, América do Sul;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Sol Pleno;Perene
122;Bougainvillea glabra;Primavera, Buganvile, Buganvília, Ceboleiro, Flor-de-papel, Pataguinha, Pau-de-roseira, Roseiro, Roseta, Santa-rita, Sempre-lustrosa, Três-marias;Nyctaginaceae;Arbustos, Arbustos Tropicais, Trepadeiras;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil;4.7 a 6.0 metros;Sol Pleno;Perene
123;Brasiliorchis picta;Pintora-brasileira, ;Orchidaceae;Flores, Orquídeas;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
124;Brassica oleraceae acephala;Repolho-ornamental, Couve-ornamental;Brassicaceae;Folhagens, Folhas e Flores, Plantas Hortícolas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Europa, Mediterrâneo;0.4 a 0.6 metros;Sol Pleno;Anual, Bienal
125;Brassica rapa pekinensis;Couve-chinesa, Acelga-chinesa, Repolho-chinês;Brassicaceae;Folhas e Flores, Plantas Hortícolas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China;0.3 a 0.4 metros;Sol Pleno;Anual
126;Breynia disticha;Mil-cores, Arbusto-de-neve, Breinia, Folha-de-seda, Pão-nosso-de-cada-dia;Phyllanthaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Indonésia, Oceania;0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra;Perene
127;Bromelia balansae;Caraguatá-do-mato, Caraguatá, Coração-de-fogo, Gravatá, Macambira, Teku, Caraguatá-da-praia, Bananinha-do-mato, Banana-do-mato-de-balansa;Bromeliaceae;Bromélias, Folhagens, Frutas e Legumes, Medicinal, Plantas Hortícolas;Oceânico, Subtropical, Tropical;América do Sul, Argentina, Bolívia, Brasil, Colômbia, Paraguai;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
128;Browallia americana;Brovália, Brovália-azul;Solanaceae;Flores Anuais;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul, México;0.3 a 0.4 metros;Luz Difusa, Meia Sombra;Anual, Perene
129;Brownea macrophylla;Rosa-da-venezuela, Rosa-da-mata, Bráunia;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América do Sul, Bolívia, Colômbia, Equador, Guiana, Peru, Venezuela;6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
130;Brugmansia suaveolens;Trombeteiro, Babado, Cartucheira, Cartucho, Copo-de-leite, Datura, Saia-branca, Sete-saias, Trombeta-cheirosa, Trombeta-de-anjo, Trombeta-rosa, Trombeteira, Zabumba-branca;Solanaceae;Arbustos, Arbustos Tropicais, Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Tropical;América Central, América do Sul;2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
131;Brunfelsia uniflora;Manacá-de-cheiro, Caágamba, Gerataca, Geretataca, Manacá-de-jardim, Mercuri, Mercúrio, Romeu-e-julieta;Solanaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América do Sul, Brasil;1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
132;Buckinghamia celsissima;Cacho-de-marfim, ;Proteaceae;Arbustos, Árvores, Árvores Ornamentais;Equatorial, Oceânico, Subtropical, Tropical;Austrália, Oceania;6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
133;Buddleja davidii;Budléia, Árvore-das-borboletas, Flor-do-mel, Arbusto-das-borboletas, Lilás-de-verão;Scrophulariaceae;Arbustos;Mediterrâneo, Subtropical, Temperado;Ásia, China, Japão;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
134;Bulbine frutescens;Bulbine, Bulbínea, Cebolinha-de-jardim;Asphodelaceae;Flores Perenes, Forrações ao Sol Pleno, Medicinal;Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Perene
135;Bulbophyllum medusae;Orquídea-medusa, ;Orchidaceae;Flores, Orquídeas;Equatorial, Oceânico, Tropical;Ásia, Bornéu, Filipinas, Ilhas da Sonda, Oceania, Sumatra, Tailândia;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
136;Bulbophyllum rothschildianum;Bulbófilo, ;Orchidaceae;Flores, Orquídeas;Equatorial, Tropical;Ásia, Birmânia, China, Índia;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
137;Bunchosia argentea;Manteiga-de-amendoim, Fruta-manteiga-de-amendoim, Tártago;Malpighiaceae;Árvores, Árvores Frutíferas;Equatorial, Subtropical, Tropical;América Central, América do Sul;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
138;Butia capitata;Butiá, Butiá-azedo, Butiá-vinagre, Cabeçudo, Guariroba-do-campo, Coquinho-azedo, Coquinho, Butiá-de-praia, Butiá-açu, Macumá, Butiá-felpudo, Butiá-branco, Butiazeiro, Butia, Coqueiro-cabeçudo, Jerivá;Arecaceae;Árvores, Árvores Frutíferas, Palmeiras;Mediterrâneo, Oceânico, Subtropical, Tropical;América do Sul, Argentina, Brasil, Paraguai;3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
139;Buxus sempervirens;Buxinho, Árvore-da-caixa, Buxo;Buxaceae;Arbustos, Bonsai, Cercas Vivas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa, Mediterrâneo;1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
140;Caesalpinia leiostachya;Pau-ferro, Ibirá-Obi, Icainha, Imirá-Itá, Jacá, Jucá, Jucaína, Muiarobi, Muiré-itá, Pau-ferro-do-ceará;Fabaceae;Árvores, Árvores Ornamentais, Medicinal;Equatorial, Subtropical, Tropical;América do Sul, Brasil;acima de 12 metros;Sol Pleno;Perene
141;Caesalpinia peltophoroides;Sibipiruna, Coração-de-negro, Sebipira, Sibipira;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América do Sul, Brasil;6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
142;Caesalpinia pulcherrima;Flamboianzinho, Ave-vermelha-do-paraíso, Baio-de-estudante, Barba-de-barata, Chagas-de-jesus, Chagueira, Flamboyam-de-jardim, Flamboyanzinho, Flamboyãzinho, Flor-de-pavão, Flor-do-paraíso, Orgulho-de-barbados, Poinciana-anã, Vaio-de-estudante;Fabaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América Central, Antilhas;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
143;Caladium bicolor;Caládio, Coração-de-jesus, Taiá, Tajá, Tinhorão;Araceae;Bulbosas, Folhagens;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Sul;0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
144;Calceolaria x herbeohybrida;Calceolária, Chinelinho-de-madame, Sapatinho-de-vênus, Tamanquinho;Calceolariaceae;Flores Anuais;Mediterrâneo, Subtropical, Temperado, Tropical;América do Sul, Chile;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Anual
145;Caleana major;Orquídea Pato-voador, Pato-voador, Orquídea Pato;Orchidaceae;Flores, Orquídeas;Subtropical, Tropical;Austrália, Oceania;0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
146;Calendula officinalis;Calêndula, Malmequer, Maravilha-do-jardim;Asteraceae;Flores Anuais, Medicinal;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Europa, Ilhas Canárias, Mediterrâneo;0.4 a 0.6 metros;Sol Pleno;Anual
147;Calibrachoa x hybrida;Calibrachoa, Mini-petúnia, Mil-sinos, Falsa-petúnia ;Solanaceae;Arbustos, Arbustos Tropicais, Flores, Flores Anuais, Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Sul, Brasil, Chile;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, menos de 15 cm;Meia Sombra, Sol Pleno;Bienal, Perene
148;Calliandra tweedii;Caliandra, Arbusto-chama, Diadema, Esponjinha, Esponjinha-sangue, Esponjinha-vermelha, Mandararé, Topete-de-pavão;Fabaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Subtropical, Tropical;América do Sul, Brasil;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
149;Callicarpa nudiflora;Calicarpa-chinesa, Calicarpa;Lamiaceae;Arbustos, Árvores, Árvores Ornamentais;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
150;Callisia repens;Dinheiro-em-penca, Dinheirinho, Mosquitinho, Tostão;Commelinaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América Central, América do Sul;0.1 a 0.3 metros, menos de 15 cm;Meia Sombra;Perene
151;Callisia warszewicziana;Espironema, Tripogandra, Dragãozinho;Commelinaceae;Flores, Flores Perenes, Forrações à Meia Sombra, Forrações ao Sol Pleno, Gramados e Forrações;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;América Central, Guatemala;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
152;Callistemon spp;Escova-de-garrafa, Calistemo, Lava-garrafas;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais;Mediterrâneo, Subtropical, Temperado, Tropical;Austrália, Oceania;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Sol Pleno;Perene
153;Callistephus chinensis;Áster-da-china, Astér, Malmequer-de-sécia, Rainha-do-mercado, Rainha-margarida, Sécia;Asteraceae;Flores Anuais;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Anual
154;Calycophyllum spruceanum;Pau-mulato, Mulateiro, Mulateiro-da-várzea, Escorrega-macaco, Pau-mulato-da-várzea, Capirona, Pau-marfim;Rubiaceae;Árvores, Árvores Ornamentais;Equatorial, Tropical;América do Sul, Brasil;acima de 12 metros;Sol Pleno;Perene
155;Camellia japonica;Camélia, Japoneira;Theaceae;Arbustos, Árvores, Árvores Ornamentais, Cercas Vivas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
156;Campanula medium;Campanula, Flor-de-sino;Campanulaceae;Flores Anuais;Continental, Mediterrâneo, Subtropical, Temperado;Europa;0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Bienal
157;Campanula persicifolia;Campânula, ;Campanulaceae;Flores, Flores Perenes;Subtropical, Temperado;Ásia, Europa;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Bienal, Perene
158;Campomanesia pubescens;Gabiroba, Guabiroba-felpuda, Guabiroba, Guabirova, Guavirova, Gavirova, Araçá-congonha, Guavira, Gabirobeira, Guabiram, Guabirababa;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Frutíferas, Árvores Ornamentais;Equatorial, Semi-árido, Subtropical, Temperado, Tropical;América do Sul, Argentina, Brasil, Uruguai;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
159;Campsis grandiflora;Trombeta-chinesa, ;Bignoniaceae;Trepadeiras;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China, Japão;6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
160;Campylocentrum aromaticum Barb.Rodr. 1907.;Orquídea, ;Orchidaceae;Flores, Orquídeas;Subtropical, Tropical;América do Sul, Argentina, Brasil;0.1 a 0.3 metros, 0.4 a 0.6 metros, menos de 15 cm;Luz Difusa;Perene
161;Canna limbata;Beri-silvestre, Bananeirinha, Birí, Birí-silvestre;Cannaceae;Arbustos, Arbustos Tropicais, Bulbosas, Flores Perenes, Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
162;Canna x generalis;Bananeirinha-de-jardim, Beri, Birí, Cana, Cana-da-índia;Cannaceae;Arbustos, Arbustos Tropicais, Bulbosas, Flores Perenes, Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Tropical;América do Sul;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
163;Capsicum spp;Pimenta, Malagueta, Pimenteira, Piri-piri;Solanaceae;Arbustos, Arbustos Tropicais, Ervas Condimentares, Flores Perenes, Frutas e Legumes, Plantas Hortícolas;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
